# Blockpost room-protocol capture, started 2026-08-23 14:18:40
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>
73470,5 fw Controll.static OFJKHAFJIMA          0.0052 -> 0.0002
73475,8 fw Controll.static GIPNIMALPEG          0.0083 -> 0.4487
73475,9 fw Controll.static NAKNALFCOIF               0 -> -0.15
73486,6 fw Controll.static IGLCENGMMMJ          0.4268 -> 0.2768
73502,5 fw Controll.static GIPNIMALPEG          0.4487 -> 0.9821
73518,2 fw player          FGFKPMPLNKO         67.6419 -> 68.7032
73518,2 fw Controll.static MKFDGFOCKNO         73.1864 -> 73.2364
73518,2 fw Controll.static LEKCBKLAILO         73.2364 -> 73.2864
73518,2 fw Controll.static OFJKHAFJIMA          0.0002 -> 0.0057
73527,7 fw Controll.static GIPNIMALPEG          0.9821 -> 0.4855
73551,5 fw Controll.static GIPNIMALPEG          0.4855 -> 0.9608
73557,7 fw Controll.static EPEEFBDJAHO               0 -> 1
73569,2 fw Controll.static MKFDGFOCKNO         73.2364 -> 73.2864
73569,2 fw Controll.static LEKCBKLAILO         73.2864 -> 73.3364
73569,2 fw Controll.static OFJKHAFJIMA          0.0057 -> 0.0041
73573,8 fw Controll.static GIPNIMALPEG          0.9608 -> 0.4075
73586,9 fw Controll.static NAKNALFCOIF           -0.15 -> 0
73586,9 fw Controll.static IGLCENGMMMJ          0.2768 -> 0.4268
73605,0 fw player          CLOEJLAOIGI               0 -> 1
73605,0 fw Controll.static GIPNIMALPEG          0.4075 -> 0.0305
73609,7 fw player          HIDMDLLHEKO               0 -> 1
73609,7 fw Controll.static NAKNALFCOIF               0 -> 0.3
73609,7 fw Controll.static IGLCENGMMMJ          0.4268 -> 0.5768
73619,8 fw Controll.static GLGCAOADGMN               1 -> 0
73619,9 fw Controll.static MKFDGFOCKNO         73.2864 -> 73.3365
73619,9 fw Controll.static LEKCBKLAILO         73.3364 -> 73.3865
73619,9 fw Controll.static OFJKHAFJIMA          0.0041 -> 0.0013
73627,2 fw Controll.static GIPNIMALPEG          0.0305 -> 0.4745
73635,8 fw player          ACAIGMNLLEC               0 -> 255
73635,8 fw player          HEADELMLILF               0 -> 1
73658,9 fw Controll.static GIPNIMALPEG          0.4745 -> 0.1092
73668,7 fw Controll.static MKFDGFOCKNO         73.3365 -> 73.3865
73668,7 fw Controll.static LEKCBKLAILO         73.3865 -> 73.4365
73673,0 fw Controll.static OFJKHAFJIMA          0.0013 -> 0.0053
73684,9 fw Controll.static GIPNIMALPEG          0.1092 -> 0.6278
73702,6 fw Controll        MJPKOOHJOPA          62.363 -> 68.7209
73706,9 fw player          HEADELMLILF               1 -> 0
73707,0 fw Controll.static MNHBPCOOMLE         1422594 -> 1423808
73707,0 fw Controll.static GIPNIMALPEG          0.6278 -> 0.0695
73707,0 fw Controll.static DGNDKAKOEPD         1422581 -> 1423590
73707,0 fw Controll.static BEJBLGGGOCC       339002809 -> 339003827
73718,6 fw Controll.static JELGPAKAJPE             120 -> 127
73718,6 fw Controll.static EENJPDHGGGC         72.4085 -> 73.4181
73718,7 fw Controll.static GLGCAOADGMN               0 -> 1
73725,5 fw player          ACAIGMNLLEC             255 -> 0
73725,5 fw player          HEADELMLILF               0 -> 1
73725,5 fw Controll.static MKFDGFOCKNO         73.3865 -> 73.4365
73725,5 fw Controll.static LEKCBKLAILO         73.4365 -> 73.4865
73725,5 fw Controll.static OFJKHAFJIMA          0.0053 -> 0.0033
73734,2 fw Controll.static GIPNIMALPEG          0.0695 -> 0.6144
73755,9 fw Controll.static GIPNIMALPEG          0.6144 -> 0.0482
73772,1 fw Controll.static MKFDGFOCKNO         73.4365 -> 73.4865
73772,1 fw Controll.static LEKCBKLAILO         73.4865 -> 73.5365
73772,1 fw Controll.static OFJKHAFJIMA          0.0033 -> 0.0022
73785,1 fw Controll.static GIPNIMALPEG          0.0482 -> 0.6321
73785,1 fw Controll.static NAKNALFCOIF             0.3 -> 0.45
73804,5 fw Controll.static MKFDGFOCKNO         73.4865 -> 73.5365
73804,5 fw Controll.static LEKCBKLAILO         73.5365 -> 73.5865
73804,5 fw Controll.static OFJKHAFJIMA          0.0022 -> 0.0008
73810,0 fw player          HEADELMLILF               1 -> 0
73810,1 fw Controll.static GIPNIMALPEG          0.6321 -> 0.1309
73822,7 fw Controll.static NAKNALFCOIF            0.45 -> 1.05
73828,0 fw player          HOJIIOCKKLO              -1 -> 1
73828,1 fw Controll.static GLGCAOADGMN               1 -> 0
73840,7 fw Controll.static GIPNIMALPEG          0.1309 -> 0.7441
73846,1 fw Controll.static NAKNALFCOIF            1.05 -> 2.25
73858,9 fw Controll.static MKFDGFOCKNO         73.5365 -> 73.5865
73858,9 fw Controll.static LEKCBKLAILO         73.5865 -> 73.6365
73858,9 fw Controll.static OFJKHAFJIMA          0.0008 -> 0.0052
73864,1 fw player          LNIDBHIAJJI               0 -> 255
73864,2 fw Controll.static GIPNIMALPEG          0.7441 -> 0.2122
73875,4 fw Controll.static NAKNALFCOIF            2.25 -> 3
73889,1 fw Controll.static GIPNIMALPEG          0.2122 -> 0.7118
73902,8 fw Controll.static BFEOOOMMGLK               0 -> 1
73902,8 fw Controll        MJPKOOHJOPA         68.7209 -> 68.9215
73908,0 fw Controll.static GLGCAOADGMN               0 -> 1
73908,0 fw Controll.static MKFDGFOCKNO         73.5865 -> 73.6365
73908,0 fw Controll.static LEKCBKLAILO         73.6365 -> 73.6865
73908,0 fw Controll.static OFJKHAFJIMA          0.0052 -> 0.0043
73918,6 fw Controll.static MNHBPCOOMLE         1423808 -> 1424008
73918,6 fw Controll.static GIPNIMALPEG          0.7118 -> 0.3007
73935,2 fw Controll.static BFEOOOMMGLK               1 -> 0
73942,4 fw Controll.static GIPNIMALPEG          0.3007 -> 0.778
73959,6 fw Controll.static GLGCAOADGMN               1 -> 0
73959,6 fw Controll.static MKFDGFOCKNO         73.6365 -> 73.6865
73959,6 fw Controll.static LEKCBKLAILO         73.6865 -> 73.7365
73959,6 fw Controll.static OFJKHAFJIMA          0.0043 -> 0.006
73974,7 fw Controll.static GIPNIMALPEG           0.778 -> 0.424
73986,5 fw player          FGFKPMPLNKO         68.7032 -> 69.1688
73989,9 fw player          ACAIGMNLLEC               0 -> 1
74003,0 fw player          HEADELMLILF               0 -> 1
74003,0 fw Controll.static GIPNIMALPEG           0.424 -> 0.9899
74003,0 fw Controll.static NAKNALFCOIF               3 -> 3.15
74003,0 fw Controll.static IGLCENGMMMJ          0.5768 -> 0.7268
74018,3 fw Controll.static MKFDGFOCKNO         73.6865 -> 73.7365
74018,3 fw Controll.static LEKCBKLAILO         73.7365 -> 73.7866
74018,3 fw Controll.static OFJKHAFJIMA           0.006 -> 0.0045
74025,1 fw Controll.static GIPNIMALPEG          0.9899 -> 0.4316
74035,1 fw player          ACAIGMNLLEC               1 -> 2
74051,4 fw Controll.static GIPNIMALPEG          0.4316 -> 0.9564
74070,2 fw Controll.static MKFDGFOCKNO         73.7365 -> 73.7866
74070,2 fw Controll.static LEKCBKLAILO         73.7866 -> 73.8366
74070,2 fw Controll.static OFJKHAFJIMA          0.0045 -> 0.0049
74074,7 fw Controll.static GIPNIMALPEG          0.9564 -> 0.4237
74074,8 fw Controll.static NAKNALFCOIF            3.15 -> 3
74074,8 fw Controll.static IGLCENGMMMJ          0.7268 -> 1.4768
74103,5 fw player          HEADELMLILF               1 -> 0
74103,6 fw Controll.static MNHBPCOOMLE         1424008 -> 1424208
74103,6 fw Controll.static GIPNIMALPEG          0.4237 -> 0.9997
74103,6 fw Controll.static NAKNALFCOIF               3 -> 2.55
74107,7 fw Controll.static IGLCENGMMMJ          1.4768 -> 3.4268
74107,7 fw Controll.static GLGCAOADGMN               0 -> 1
74107,7 fw Controll        MJPKOOHJOPA         68.9215 -> 69.1216
74119,2 fw Controll.static MKFDGFOCKNO         73.7866 -> 73.8366
74119,2 fw Controll.static LEKCBKLAILO         73.8366 -> 73.8866
74119,2 fw Controll.static OFJKHAFJIMA          0.0049 -> 0.0039
74128,8 fw Controll.static GIPNIMALPEG          0.9997 -> 0.5045
74134,4 fw Controll.static NAKNALFCOIF            2.55 -> 1.95
74134,4 fw Controll.static IGLCENGMMMJ          3.4268 -> 5.0768
74144,1 fw Controll.static GLGCAOADGMN               1 -> 0
74151,9 fw Controll.static GIPNIMALPEG          0.5045 -> 0.9652
74159,4 fw Controll.static NAKNALFCOIF            1.95 -> 1.35
74159,4 fw Controll.static IGLCENGMMMJ          5.0768 -> 6.4268
74159,4 fw Controll.static JEOINCHFPCC              -1 -> 0
74170,6 fw Controll.static MKFDGFOCKNO         73.8366 -> 73.8866
74170,6 fw Controll.static LEKCBKLAILO         73.8866 -> 73.9366
74170,6 fw Controll.static OFJKHAFJIMA          0.0039 -> 0.0055
74174,5 fw player          BDHNEDFEHBA              64 -> 128
74174,6 fw Controll.static GIPNIMALPEG          0.9652 -> 0.4182
74187,0 fw Controll.static NAKNALFCOIF            1.35 -> 1.05
74187,0 fw Controll.static IGLCENGMMMJ          6.4268 -> 7.1768
74205,4 fw Controll.static GIPNIMALPEG          0.4182 -> 0.0358
74208,7 fw Controll.static NAKNALFCOIF            1.05 -> 0.9
74208,7 fw Controll.static IGLCENGMMMJ          7.1768 -> 7.7768
74221,3 fw Controll.static MKFDGFOCKNO         73.8866 -> 73.9366
74221,3 fw Controll.static LEKCBKLAILO         73.9366 -> 73.9866
74221,3 fw Controll.static OFJKHAFJIMA          0.0055 -> 0.0016
74226,3 fw player          LNIDBHIAJJI             255 -> 1
74226,3 fw player          ACAIGMNLLEC               2 -> 1
74226,3 fw player          HEADELMLILF               0 -> 1
74226,3 fw Controll.static GIPNIMALPEG          0.0358 -> 0.4539
74236,9 fw Controll.static NAKNALFCOIF             0.9 -> 0.6
74236,9 fw Controll.static IGLCENGMMMJ          7.7768 -> 8.3768
74253,9 fw Controll.static GIPNIMALPEG          0.4539 -> 0.0047
74259,9 fw Controll.static NAKNALFCOIF             0.6 -> 0.45
74259,9 fw Controll.static IGLCENGMMMJ          8.3768 -> 9.5768
74272,0 fw Controll.static MKFDGFOCKNO         73.9366 -> 73.9866
74272,0 fw Controll.static LEKCBKLAILO         73.9866 -> 74.0366
74272,0 fw Controll.static OFJKHAFJIMA          0.0016 -> 0.0001
74288,4 fw Controll.static GIPNIMALPEG          0.0047 -> 0.6948
74288,4 fw Controll.static NAKNALFCOIF            0.45 -> 0.15
74288,4 fw Controll.static IGLCENGMMMJ          9.5768 -> 10.3268
74293,3 fw player          HOJIIOCKKLO               1 -> -1
74293,3 fw player          LNIDBHIAJJI               1 -> 3
74304,1 fw player          ACAIGMNLLEC               1 -> 0
74304,1 fw Controll.static OFJKHAFJIMA          0.0001 -> 0.0003
74308,9 fw Controll.static GIPNIMALPEG          0.6948 -> 0.1051
74308,9 fw Controll.static IGLCENGMMMJ         10.3268 -> 10.4768
74326,1 fw Controll.static MKFDGFOCKNO         73.9866 -> 74.0367
74326,1 fw Controll.static LEKCBKLAILO         74.0366 -> 74.0867
74336,9 fw player          BDHNEDFEHBA             128 -> 192
74336,9 fw player          LNIDBHIAJJI               3 -> 4
74336,9 fw player          HEADELMLILF               1 -> 0
74336,9 fw Controll.static GIPNIMALPEG          0.1051 -> 0.664
74336,9 fw Controll.static NAKNALFCOIF            0.15 -> -0
74336,9 fw Controll.static IGLCENGMMMJ         10.4768 -> 10.6268
74355,9 fw Controll.static MKFDGFOCKNO         74.0367 -> 74.0867
74355,9 fw Controll.static LEKCBKLAILO         74.0867 -> 74.1367
74355,9 fw Controll.static OFJKHAFJIMA          0.0003 -> 0.0021
74356,0 fw Controll        MJPKOOHJOPA         69.1216 -> 69.3728
74363,5 fw Controll.static MNHBPCOOMLE         1424208 -> 1424460
74363,5 fw Controll.static GIPNIMALPEG           0.664 -> 0.1965
74363,5 fw Controll.static NAKNALFCOIF              -0 -> -0.3
74363,5 fw Controll.static IGLCENGMMMJ         10.6268 -> 11.3768
74374,4 fw player          LNIDBHIAJJI               4 -> 5
74374,4 fw Controll.static GLGCAOADGMN               0 -> 1
74389,9 fw Controll.static GIPNIMALPEG          0.1965 -> 0.7237
74389,9 fw Controll.static NAKNALFCOIF            -0.3 -> -0.45
74389,9 fw Controll.static IGLCENGMMMJ         11.3768 -> 12.1268
74402,1 fw Controll.static GLGCAOADGMN               1 -> 0
74407,1 fw Controll.static MKFDGFOCKNO         74.0867 -> 74.1367
74407,1 fw Controll.static LEKCBKLAILO         74.1367 -> 74.1867
74407,1 fw Controll.static OFJKHAFJIMA          0.0021 -> 0.0032
74418,6 fw Controll.static GIPNIMALPEG          0.7237 -> 0.2975
74424,2 fw Controll.static IGLCENGMMMJ         12.1268 -> 13.3268
74441,4 fw player          BDHNEDFEHBA             192 -> 256
74441,4 fw player          LNIDBHIAJJI               5 -> 6
74441,4 fw Controll.static GIPNIMALPEG          0.2975 -> 0.7545
74452,4 fw player          FGFKPMPLNKO         69.1688 -> 69.6373
74452,4 fw Controll.static IGLCENGMMMJ         13.3268 -> 13.6268
74458,6 fw Controll.static MKFDGFOCKNO         74.1367 -> 74.1867
74458,6 fw Controll.static LEKCBKLAILO         74.1867 -> 74.2367
74458,6 fw Controll.static OFJKHAFJIMA          0.0032 -> 0.0047
74468,4 fw Controll.static GIPNIMALPEG          0.7545 -> 0.2935
74475,1 fw Controll.static IGLCENGMMMJ         13.6268 -> 13.7768
74490,7 fw Controll.static GIPNIMALPEG          0.2935 -> 0.7391
74502,8 fw player          LNIDBHIAJJI               6 -> 7
