# Blockpost room-protocol capture, started 2026-08-23 14:05:11
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>
11220,7 ==== FIELDWATCH ON ====
11223,7 # net: TcpClient.Connected = True
11232,5 # fieldwatch player: 53 numeric fields on KBBBHJDINCB
11233,5 # fieldwatch Controll.static: 74 numeric fields on Controll
11233,6 # fieldwatch Controll: 28 numeric fields on Controll
11233,9 # fieldwatch weapon: 3 numeric fields on CGJPBNDDPIN
11270,3 fw Controll.static GIPNIMALPEG          0.7957 -> 0.0671
11274,7 fw Controll.static DGNDKAKOEPD          551079 -> 552074
11274,7 fw Controll.static BEJBLGGGOCC       338131365 -> 338132358
11274,8 fw Controll.static JELGPAKAJPE              99 -> 97
11274,8 fw Controll.static EENJPDHGGGC          9.9904 -> 10.9846
11283,2 fw Controll.static MKFDGFOCKNO         10.9378 -> 10.9878
11283,2 fw Controll.static LEKCBKLAILO         10.9878 -> 11.0378
11283,2 fw Controll.static OFJKHAFJIMA          0.0034 -> 0.0032
11286,8 fw Controll.static GIPNIMALPEG          0.0671 -> 0.3988
11301,6 fw Controll.static GIPNIMALPEG          0.3988 -> 0.6947
11333,1 fw Controll.static GIPNIMALPEG          0.6947 -> 0.3255
11337,7 fw Controll.static MKFDGFOCKNO         10.9878 -> 11.0378
11337,7 fw Controll.static LEKCBKLAILO         11.0378 -> 11.0878
11337,7 fw Controll.static OFJKHAFJIMA          0.0032 -> 0.0161
11349,1 fw Controll.static GIPNIMALPEG          0.3255 -> 0.6442
11367,5 fw Controll.static GIPNIMALPEG          0.6442 -> 0.0129
11375,5 fw Controll.static MKFDGFOCKNO         11.0378 -> 11.0878
11375,5 fw Controll.static LEKCBKLAILO         11.0878 -> 11.1378
11375,5 fw Controll.static OFJKHAFJIMA          0.0161 -> 0.0004
11382,4 fw Controll.static GIPNIMALPEG          0.0129 -> 0.311
11400,5 fw Controll.static GIPNIMALPEG           0.311 -> 0.6721
11415,2 fw Controll.static GIPNIMALPEG          0.6721 -> 0.9666
11428,1 fw Controll.static MKFDGFOCKNO         11.0878 -> 11.1378
11428,1 fw Controll.static LEKCBKLAILO         11.1378 -> 11.1878
11428,1 fw Controll.static OFJKHAFJIMA          0.0004 -> 0.0015
11433,4 fw Controll.static GIPNIMALPEG          0.9666 -> 0.331
11449,2 fw Controll.static GIPNIMALPEG           0.331 -> 0.6461
11449,2 fw Controll.static NAKNALFCOIF              15 -> 14.85
11460,3 fw Controll.static GIPNIMALPEG          0.6461 -> 0.8676
11472,7 fw Controll.static MKFDGFOCKNO         11.1378 -> 11.1878
11472,7 fw Controll.static LEKCBKLAILO         11.1878 -> 11.2378
11483,0 fw Controll.static GIPNIMALPEG          0.8676 -> 0.3232
11483,1 fw Controll.static NAKNALFCOIF           14.85 -> 14.55
11498,0 fw Controll.static GIPNIMALPEG          0.3232 -> 0.6231
11500,6 fw Controll.static NAKNALFCOIF           14.55 -> 14.1
11516,6 fw Controll.static GIPNIMALPEG          0.6231 -> 0.9939
11516,6 fw Controll.static NAKNALFCOIF            14.1 -> 13.2
11516,6 fw Controll.static IGLCENGMMMJ            26.1 -> 26.25
11524,2 fw Controll.static MKFDGFOCKNO         11.1878 -> 11.2379
11524,2 fw Controll.static LEKCBKLAILO         11.2378 -> 11.2879
11524,2 fw Controll.static OFJKHAFJIMA          0.0015 -> 0.0071
11528,9 fw Controll.static GIPNIMALPEG          0.9939 -> 0.2399
11539,2 fw Controll.static NAKNALFCOIF            13.2 -> 11.4
11539,2 fw Controll.static IGLCENGMMMJ           26.25 -> 26.7
11552,1 fw Controll.static GIPNIMALPEG          0.2399 -> 0.7045
11552,2 fw Controll.static NAKNALFCOIF            11.4 -> 10.5
11552,2 fw Controll.static IGLCENGMMMJ            26.7 -> 26.85
11567,2 fw Controll.static GIPNIMALPEG          0.7045 -> 0.0062
11570,5 fw Controll.static NAKNALFCOIF            10.5 -> 7.2
11570,5 fw Controll.static IGLCENGMMMJ           26.85 -> 27
11582,4 fw Controll.static MKFDGFOCKNO         11.2379 -> 11.2879
11582,4 fw Controll.static LEKCBKLAILO         11.2879 -> 11.3379
11582,4 fw Controll.static OFJKHAFJIMA          0.0071 -> 0.0001
11586,2 fw Controll.static GIPNIMALPEG          0.0062 -> 0.3876
11586,3 fw Controll.static NAKNALFCOIF             7.2 -> 4.95
