# Blockpost room-protocol capture, started 2026-08-23 14:22:05
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>
17013,4 ==== FIELDWATCH ON ====
17026,1 # net: TcpClient.Connected = True
17041,3 # fieldwatch player: 51 numeric fields, 6 arrays (GPBAJMJILMA,JNBMIDFBOHD,JPDHFNADBKI,GDEMINMDJAC,DDKPBGMMNIA,PPOOANLEBNI) on KBBBHJDINCB
17041,4 # fieldwatch Controll.static: 74 numeric fields, 1 arrays (DDOHELGGICN) on Controll
17041,6 # fieldwatch Controll: 28 numeric fields, 0 arrays () on Controll
17043,6 # fieldwatch weapon: 3 numeric fields, 0 arrays () on CGJPBNDDPIN
17044,3 # fieldwatch activeEntry: 8 numeric fields, 1 arrays (COAAKMDBKJM) on FPNENMKEFBB
17075,3 fw player          BDHNEDFEHBA             448 -> 384
17081,1 fw Controll.static MKFDGFOCKNO         16.7839 -> 16.8339
17081,1 fw Controll.static LEKCBKLAILO         16.8339 -> 16.8839
17081,1 fw Controll.static OFJKHAFJIMA          0.0322 -> 0.0041
17092,6 fw Controll.static GIPNIMALPEG          0.8245 -> 0.3146
17132,1 fw player          HIDMDLLHEKO               4 -> 0
17132,1 fw Controll.static GIPNIMALPEG          0.3146 -> 0.1059
17143,2 fw Controll.static MKFDGFOCKNO         16.8339 -> 16.8839
17143,2 fw Controll.static LEKCBKLAILO         16.8839 -> 16.9339
17143,2 fw Controll.static OFJKHAFJIMA          0.0041 -> 0.0051
17157,8 fw Controll.static GIPNIMALPEG          0.1059 -> 0.6195
17157,8 fw Controll.static NAKNALFCOIF        219.5999 -> 219.7499
17176,1 fw Controll.static GIPNIMALPEG          0.6195 -> 0.9858
17176,1 fw Controll.static NAKNALFCOIF        219.7499 -> 220.4999
17176,1 fw Controll.static IGLCENGMMMJ            9.45 -> 9.6
17192,7 fw Controll.static MKFDGFOCKNO         16.8839 -> 16.9339
17192,7 fw Controll.static LEKCBKLAILO         16.9339 -> 16.9839
17192,7 fw Controll.static OFJKHAFJIMA          0.0051 -> 0.0142
17205,9 fw Controll.static GIPNIMALPEG          0.9858 -> 0.582
17205,9 fw Controll.static LCMOBPPHLLM           0.485 -> 0
17205,9 fw Controll.static NAKNALFCOIF        220.4999 -> 221.3999
17224,9 fw Controll.static GIPNIMALPEG           0.582 -> 0.9615
17224,9 fw Controll.static NAKNALFCOIF        221.3999 -> 222.1499
17240,4 fw Controll.static MKFDGFOCKNO         16.9339 -> 16.9839
