# Blockpost room-protocol capture, started 2026-08-23 14:26:01
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>
15077,6 ==== FIELDWATCH ON ====
15086,0 # net: TcpClient.Connected = True
15108,7 #   player.GPBAJMJILMA len=2 [0, 0]
15808,9 fw Controll.static GLGCAOADGMN               1 -> 0
15813,3 fw Controll.static MKFDGFOCKNO         15.4838 -> 15.5338
15813,3 fw Controll.static LEKCBKLAILO         15.5338 -> 15.5838
15813,3 fw Controll.static OFJKHAFJIMA           0.003 -> 0.0058
15825,4 fw Controll.static GIPNIMALPEG          0.8106 -> 0.4633
15825,4 fw Controll.static NAKNALFCOIF            92.4 -> 92.25
15825,4 fw Controll.static IGLCENGMMMJ            17.7 -> 18.3
15846,9 fw player          ACAIGMNLLEC              64 -> 65
15846,9 fw player          HEADELMLILF               0 -> 1
15847,0 fw Controll.static GIPNIMALPEG          0.4633 -> 0.8936
15847,0 fw Controll.static IGLCENGMMMJ            18.3 -> 18.45
15864,5 fw Controll.static MKFDGFOCKNO         15.5338 -> 15.5838
15864,5 fw Controll.static LEKCBKLAILO         15.5838 -> 15.6338
15864,5 fw Controll.static OFJKHAFJIMA          0.0058 -> 0.0063
15874,4 fw Controll.static GIPNIMALPEG          0.8936 -> 0.4436
15897,5 fw Controll.static GIPNIMALPEG          0.4436 -> 0.9045
15908,0 fw player          LNIDBHIAJJI               4 -> 11
15908,0 fw player          HEADELMLILF               1 -> 0
15912,9 fw Controll.static MKFDGFOCKNO         15.5838 -> 15.6338
15912,9 fw Controll.static LEKCBKLAILO         15.6338 -> 15.6838
15912,9 fw Controll.static OFJKHAFJIMA          0.0063 -> 0.0056
15925,8 fw Controll.static MNHBPCOOMLE         1806886 -> 1807091
15925,8 fw Controll.static GIPNIMALPEG          0.9045 -> 0.4704
15925,8 fw Controll        MJPKOOHJOPA         11.3474 -> 11.5637
15942,4 fw Controll.static GLGCAOADGMN               0 -> 1
15947,4 fw Controll.static GIPNIMALPEG          0.4704 -> 0.9032
15959,7 fw Controll.static NAKNALFCOIF           92.25 -> 91.95
15959,7 fw Controll.static IGLCENGMMMJ           18.45 -> 19.35
15967,7 fw Controll.static GLGCAOADGMN               1 -> 0
15967,7 fw Controll.static MKFDGFOCKNO         15.6338 -> 15.6838
15967,7 fw Controll.static LEKCBKLAILO         15.6838 -> 15.7338
15967,7 fw Controll.static OFJKHAFJIMA          0.0056 -> 0.0072
15975,7 fw Controll.static GIPNIMALPEG          0.9032 -> 0.4687
15985,1 fw Controll.static NAKNALFCOIF           91.95 -> 91.8
15985,1 fw Controll.static IGLCENGMMMJ           19.35 -> 20.1
16002,1 fw Controll.static GIPNIMALPEG          0.4687 -> 0.9941
16007,8 fw player          LNIDBHIAJJI              11 -> 12
16007,8 fw Controll.static IGLCENGMMMJ            20.1 -> 20.25
16020,4 fw Controll.static MKFDGFOCKNO         15.6838 -> 15.7338
16020,4 fw Controll.static LEKCBKLAILO         15.7338 -> 15.7838
16020,4 fw Controll.static OFJKHAFJIMA          0.0072 -> 0.0053
16025,8 fw Controll.static GIPNIMALPEG          0.9941 -> 0.4698
16056,4 fw Controll.static GIPNIMALPEG          0.4698 -> 0.0827
16060,3 fw Controll.static IGLCENGMMMJ           20.25 -> 20.4
16073,0 fw Controll.static MKFDGFOCKNO         15.7338 -> 15.7838
16073,0 fw Controll.static LEKCBKLAILO         15.7838 -> 15.8338
16073,0 fw Controll.static OFJKHAFJIMA          0.0053 -> 0.0039
16091,2 fw Controll.static GIPNIMALPEG          0.0827 -> 0.7784
16091,2 fw Controll.static NAKNALFCOIF            91.8 -> 91.5
16091,2 fw Controll.static IGLCENGMMMJ            20.4 -> 21.3
16109,1 fw player          LNIDBHIAJJI              12 -> 13
16109,1 fw Controll.static OFJKHAFJIMA          0.0039 -> 0.0066
16114,8 fw Controll.static GIPNIMALPEG          0.7784 -> 0.2499
16114,8 fw Controll.static IGLCENGMMMJ            21.3 -> 21.9
16135,5 fw Controll.static MKFDGFOCKNO         15.7838 -> 15.8338
16135,6 fw Controll.static LEKCBKLAILO         15.8338 -> 15.8838
16147,0 fw Controll.static GIPNIMALPEG          0.2499 -> 0.8955
16147,1 fw Controll.static NAKNALFCOIF            91.5 -> 91.35
16147,1 fw Controll.static IGLCENGMMMJ            21.9 -> 22.2
16163,3 fw Controll.static MKFDGFOCKNO         15.8338 -> 15.8838
16163,3 fw Controll.static LEKCBKLAILO         15.8838 -> 15.9338
16163,3 fw Controll.static OFJKHAFJIMA          0.0066 -> 0.0011
16170,5 fw Controll.static GIPNIMALPEG          0.8955 -> 0.3631
16194,3 fw Controll.static GIPNIMALPEG          0.3631 -> 0.8407
16208,9 fw Controll.static MKFDGFOCKNO         15.8838 -> 15.9338
16208,9 fw Controll.static LEKCBKLAILO         15.9338 -> 15.9838
16208,9 fw Controll.static OFJKHAFJIMA          0.0011 -> 0.0021
16221,5 fw Controll.static GIPNIMALPEG          0.8407 -> 0.3849
16244,1 fw Controll.static GIPNIMALPEG          0.3849 -> 0.8357
16255,0 fw player          LNIDBHIAJJI              13 -> 15
16255,0 fw Controll.static NAKNALFCOIF           91.35 -> 91.05
16255,0 fw Controll.static IGLCENGMMMJ            22.2 -> 22.8
16260,0 fw Controll.static MKFDGFOCKNO         15.9338 -> 15.9838
16260,0 fw Controll.static LEKCBKLAILO         15.9838 -> 16.0338
16260,0 fw Controll.static OFJKHAFJIMA          0.0021 -> 0.0024
16273,6 fw Controll.static GIPNIMALPEG          0.8357 -> 0.4261
16295,0 fw Controll.static GIPNIMALPEG          0.4261 -> 0.8546
16307,3 fw Controll.static DGNDKAKOEPD         1804720 -> 1807257
16307,3 fw Controll.static BEJBLGGGOCC       339384703 -> 339387446
16307,3 fw Controll.static JELGPAKAJPE               0 -> 138
16307,3 fw Controll.static EENJPDHGGGC         13.4854 -> 16.0225
16312,3 fw player          HEADELMLILF               0 -> 1
16312,3 fw Controll.static MKFDGFOCKNO         15.9838 -> 16.0338
16312,3 fw Controll.static LEKCBKLAILO         16.0338 -> 16.0838
16312,3 fw Controll.static OFJKHAFJIMA          0.0024 -> 0.0048
16326,9 fw Controll.static MNHBPCOOMLE         1807091 -> 1807492
16326,9 fw Controll.static GIPNIMALPEG          0.8546 -> 0.4912
16326,9 fw Controll        MJPKOOHJOPA         11.5637 -> 11.9632
16332,1 fw player          ACAIGMNLLEC              65 -> 64
16344,5 fw Controll.static GLGCAOADGMN               0 -> 1
