# Blockpost room-protocol capture, started 2026-08-23 02:54:08
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>

25119,5 ==== CAPTURE ON ====
25124,7 # net: TcpClient.Connected = True
25160,9 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 -0 180,45 b0 i297882720
25217,5 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 -0 180,45 b0 i297882776
25260,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 -0 180,45 b0 i297882819
25307,8 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 -0 180,45 b0 i297882867
25367,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 -0 180,45 b0 i297882926
25410,5 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 -0 180,45 b0 i297882969
25459,9 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 -0 180,45 b0 i297883019
25511,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 -0 180,45 b0 i297883070
25561,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 -0 180,45 b0 i297883120
25613,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 -0 180,6 b0 i297883172
25662,6 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 0,6 182,55 b0 i297883221
25712,9 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 2,85 187,95 b0 i297883272
25760,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 5,4 195,75 b0 i297883319
25812,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 6,6 202,35 b0 i297883371
25867,8 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 7,2 210,15 b0 i297883427
25915,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 6,9 214,8 b0 i297883474
25959,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 5,7 217,8 b0 i297883517
26010,3 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 4,95 219,15 b0 i297883568
26066,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 4,35 220,2 b0 i297883624
26112,3 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 3,9 220,35 b0 i297883670
26167,6 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 3,3 220,5 b0 i297883726
26209,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 3 220,5 b0 i297883767
26261,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 2,25 220,2 b0 i297883820
26311,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 2,25 220,2 b0 i297883869
26394,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 0,961 218,029 b0 i297883952
26399,0 tx hdr=0xF5 op=0x04 HIT_REPORT(pos,seq,hits[]) : 17,5 3,4 62,5 i297883957 b2 b1 2,228 3,561 43,062
26419,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 0,725 218,029 b0 i297883977
26461,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 0,751 218,029 b0 i297884019
26488,4 tx hdr=0xF5 op=0x04 HIT_REPORT(pos,seq,hits[]) : 17,5 3,4 62,5 i297884046 b2 b0 2,613 2,727 42,744
26515,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 0,402 217,879 b0 i297884073
26558,3 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 0,606 218,029 b0 i297884116
26611,6 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 0,673 218,029 b0 i297884170
26619,1 tx hdr=0xF5 op=0x04 HIT_REPORT(pos,seq,hits[]) : 17,5 3,4 62,5 i297884177 b2 b1 2,49 3,043 42,875
26660,6 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 0,511 218,029 b0 i297884219
26709,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 0,604 218,029 b0 i297884267
26740,5 tx hdr=0xF5 op=0x04 HIT_REPORT(pos,seq,hits[]) : 17,5 3,4 62,5 i297884298 b2 b0 2,236 2,878 42,945
26764,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 0,47 218,029 b0 i297884322
26809,6 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 0,578 218,029 b0 i297884368
26861,4 tx hdr=0xF5 op=0x04 HIT_REPORT(pos,seq,hits[]) : 17,5 3,4 62,5 i297884419 b2 b0 2,234 2,672 43,428
26861,6 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 0,673 218,029 b0 i297884420
26912,9 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 0,538 218,029 b0 i297884471
26958,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 0,621 218,029 b0 i297884516
26986,0 tx hdr=0xF5 op=0x06 int3/6 : s0 s3 s42
26986,2 tx hdr=0xF5 op=0x04 HIT_REPORT(pos,seq,hits[]) :
27012,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 0,491 218,029 b0 i297884566
27060,5 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 0,582 218,029 b0 i297884614
27113,9 tx hdr=0xF5 op=0x06 int3/6 : s0 s3 s42
27114,1 tx hdr=0xF5 op=0x04 HIT_REPORT(pos,seq,hits[]) :
27114,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 0,682 218,029 b0 i297884668
27160,9 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 0,537 218,029 b0 i297884715
27209,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,5 1 62,5 0,63 218,029 b0 i297884763
27237,3 tx hdr=0xF5 op=0x04 HIT_REPORT(pos,seq,hits[]) : 17,5 3,4 62,5 i297884791 b2 b0 2,647 2,596 43,266
27265,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,67 1 62,367 0,499 218,029 b8 i297884819
27313,3 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,797 1 62,072 0,605 218,512 b9 i297884867
27362,3 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,897 1 61,681 0,698 218,585 b9 i297884916
27412,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 17,981 1 61,232 0,776 218,585 b9 i297884966
27463,9 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 18,053 1 60,747 0,838 219,335 b9 i297885018
27508,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 18,115 1 60,241 0,896 219,785 b9 i297885062
27568,0 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 18,012 1 59,774 0,935 220,835 b1 i297885122
