# Blockpost room-protocol capture, started 2026-08-23 02:50:26
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>

13225,4 ==== CAPTURE ON ====
13230,2 # net: TcpClient.Connected = True
15377,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 33,968 1 85,787 4,05 251,25 b1 i297651801
15424,8 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 33,473 1 85,767 4,05 251,25 b1 i297651848
15479,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 32,968 1 85,684 4,05 251,25 b1 i297651903
15525,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 32,456 1 85,564 4,05 251,25 b1 i297651949
15575,8 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 31,941 1 85,421 4,05 251,25 b1 i297651999
15631,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 31,424 1 85,265 4,05 251,25 b1 i297652055
15675,6 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 30,906 1 85,095 4,05 249,9 b1 i297652099
15728,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 30,4 1 84,894 4,95 243 b1 i297652152
15746,2 tx hdr=0xF5 op=0x0F slot/15 : b0
15776,7 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 29,928 1 84,647 3,75 233,7 b1 i297652200
15825,5 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 29,49 1 84,348 3,75 225,75 b1 i297652249
15882,9 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 29,088 1 84,004 3,75 220,05 b1 i297652306
15923,8 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 28,71 1 83,63 3,9 219,45 b1 i297652347
15985,1 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 28,347 1 83,238 4,05 219 b1 i297652408
16031,8 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 27,999 1 82,831 4,2 217,05 b1 i297652455
16078,4 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 27,67 1 82,406 4,2 213,6 b1 i297652502
16134,2 tx hdr=0xF5 op=0x2D MOVE(x,y,z,rx,ry,state,tick) : 27,379 1 81,957 4,05 205,8 b1 i297652557
