# Blockpost room-protocol capture, started 2026-08-23 14:08:30
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>
31618,9 ==== FIELDWATCH ON ====
31620,8 # net: TcpClient.Connected = True
31632,0 # fieldwatch player: 53 numeric fields on KBBBHJDINCB
31633,1 # fieldwatch Controll.static: 74 numeric fields on Controll
31633,2 # fieldwatch Controll: 28 numeric fields on Controll
31633,5 # fieldwatch weapon: 3 numeric fields on CGJPBNDDPIN
31633,7 # fieldwatch activeEntry: 8 numeric fields on FPNENMKEFBB
31676,3 fw Controll.static MKFDGFOCKNO         31.3517 -> 31.4017
31676,3 fw Controll.static LEKCBKLAILO         31.4017 -> 31.4517
31676,3 fw Controll.static OFJKHAFJIMA          0.0038 -> 0.0079
31697,0 fw Controll.static GIPNIMALPEG          0.1631 -> 0.9856
31702,9 fw Controll.static MKFDGFOCKNO         31.4017 -> 31.4517
31702,9 fw Controll.static LEKCBKLAILO         31.4517 -> 31.5017
31715,1 fw Controll.static OFJKHAFJIMA          0.0079 -> 0.0049
31719,7 fw Controll.static GIPNIMALPEG          0.9856 -> 0.4418
31748,8 fw Controll.static GIPNIMALPEG          0.4418 -> 0.0231
31767,6 fw Controll.static MKFDGFOCKNO         31.4517 -> 31.5017
31767,6 fw Controll.static LEKCBKLAILO         31.5017 -> 31.5517
31767,6 fw Controll.static OFJKHAFJIMA          0.0049 -> 0.0009
31772,8 fw Controll.static GIPNIMALPEG          0.0231 -> 0.5029
31809,8 fw Controll.static MKFDGFOCKNO         31.5017 -> 31.5517
31809,8 fw Controll.static LEKCBKLAILO         31.5517 -> 31.6017
31809,8 fw Controll.static OFJKHAFJIMA          0.0009 -> 0.0117
31816,1 fw Controll.static GIPNIMALPEG          0.5029 -> 0.3686
31850,0 fw Controll.static GIPNIMALPEG          0.3686 -> 0.0459
31868,3 fw Controll.static MKFDGFOCKNO         31.5517 -> 31.6017
31868,3 fw Controll.static LEKCBKLAILO         31.6017 -> 31.6517
31868,3 fw Controll.static OFJKHAFJIMA          0.0117 -> 0.002
31873,2 fw Controll.static GIPNIMALPEG          0.0459 -> 0.5105
31901,5 fw Controll.static GIPNIMALPEG          0.5105 -> 0.0775
31917,8 fw Controll.static MKFDGFOCKNO         31.6017 -> 31.6517
31917,8 fw Controll.static LEKCBKLAILO         31.6517 -> 31.7017
31917,8 fw Controll.static OFJKHAFJIMA           0.002 -> 0.0036
31922,1 fw Controll.static GIPNIMALPEG          0.0775 -> 0.4886
31948,6 fw Controll.static GIPNIMALPEG          0.4886 -> 0.0181
