# Blockpost room-protocol capture, started 2026-08-23 02:00:10
# tx: <ms> tx hdr=0xNN op=0xNN <name> : <fields>    rx: <ms> rx len=N <hex>
15748,2 ==== FIELDWATCH ON ====
15750,3 # net: TcpClient.Connected = True
15755,0 # fieldwatch player: 53 numeric fields on KBBBHJDINCB
15756,2 # fieldwatch Controll.static: 74 numeric fields on Controll
15756,4 # fieldwatch Controll: 28 numeric fields on Controll
15772,1 fw Controll.static GIPNIMALPEG          0.1082 -> 0.5871
15783,2 fw Controll.static GIPNIMALPEG          0.5871 -> 0.8095
15788,9 fw Controll.static GIPNIMALPEG          0.8095 -> 0.9244
15797,4 fw Controll.static MKFDGFOCKNO          15.527 -> 15.577
15797,4 fw Controll.static LEKCBKLAILO          15.577 -> 15.627
15797,4 fw Controll.static OFJKHAFJIMA          0.0052 -> 0.0045
15797,4 fw Controll.static GIPNIMALPEG          0.9244 -> 0.0942
15802,4 fw Controll.static GIPNIMALPEG          0.0942 -> 0.1935
15812,8 fw Controll.static GIPNIMALPEG          0.1935 -> 0.403
15816,4 fw Controll.static DGNDKAKOEPD        77372650 -> 77374702
15816,4 fw Controll.static BEJBLGGGOCC       294632863 -> 294634696
15816,4 fw Controll.static JELGPAKAJPE               0 -> 415
15816,4 fw Controll.static EENJPDHGGGC         13.5457 -> 15.5973
15816,4 fw Controll.static GIPNIMALPEG           0.403 -> 0.4748
15826,2 fw Controll.static GIPNIMALPEG          0.4748 -> 0.6671
15833,1 fw Controll.static GIPNIMALPEG          0.6671 -> 0.8082
15840,6 fw Controll.static GIPNIMALPEG          0.8082 -> 0.9577
15847,2 fw Controll.static MKFDGFOCKNO          15.577 -> 15.627
15847,3 fw Controll.static LEKCBKLAILO          15.627 -> 15.677
15847,3 fw Controll.static GIPNIMALPEG          0.9577 -> 0.0916
15854,5 fw Controll.static GIPNIMALPEG          0.0916 -> 0.2363
15862,7 fw Controll.static GIPNIMALPEG          0.2363 -> 0.4003
15867,0 fw Controll.static GIPNIMALPEG          0.4003 -> 0.4851
15876,3 fw Controll.static GIPNIMALPEG          0.4851 -> 0.6715
15882,2 fw Controll.static GIPNIMALPEG          0.6715 -> 0.7898
15890,5 fw Controll.static GIPNIMALPEG          0.7898 -> 0.9569
15908,0 fw Controll.static MKFDGFOCKNO          15.627 -> 15.677
15908,0 fw Controll.static LEKCBKLAILO          15.677 -> 15.727
15908,0 fw Controll.static OFJKHAFJIMA          0.0045 -> 0.0151
15908,1 fw Controll.static GIPNIMALPEG          0.9569 -> 0.3054
15914,2 fw Controll.static GIPNIMALPEG          0.3054 -> 0.4303
15922,1 fw Controll.static GIPNIMALPEG          0.4303 -> 0.5872
15929,1 fw Controll.static GIPNIMALPEG          0.5872 -> 0.7277
15935,4 fw Controll.static GIPNIMALPEG          0.7277 -> 0.8546
15942,2 fw Controll.static GIPNIMALPEG          0.8546 -> 0.9896
15949,3 fw Controll.static MKFDGFOCKNO          15.677 -> 15.727
15949,3 fw Controll.static LEKCBKLAILO          15.727 -> 15.777
15949,3 fw Controll.static OFJKHAFJIMA          0.0151 -> 0.0065
15949,3 fw Controll.static GIPNIMALPEG          0.9896 -> 0.1331
15955,8 fw Controll.static GIPNIMALPEG          0.1331 -> 0.2618
15963,2 fw Controll.static GIPNIMALPEG          0.2618 -> 0.4092
15970,5 fw Controll.static GIPNIMALPEG          0.4092 -> 0.5559
15978,4 fw Controll.static GIPNIMALPEG          0.5559 -> 0.7136
15982,9 fw Controll.static GIPNIMALPEG          0.7136 -> 0.805
15992,0 fw Controll.static GIPNIMALPEG           0.805 -> 0.9855
15998,7 fw Controll.static MKFDGFOCKNO          15.727 -> 15.777
15998,7 fw Controll.static LEKCBKLAILO          15.777 -> 15.827
15998,7 fw Controll.static OFJKHAFJIMA          0.0065 -> 0.0057
15998,7 fw Controll.static GIPNIMALPEG          0.9855 -> 0.1182
16005,2 fw Controll.static GIPNIMALPEG          0.1182 -> 0.2504
16013,2 fw player          APFNBGHAJMD               0 -> 1
16013,2 fw Controll.static GIPNIMALPEG          0.2504 -> 0.4093
16019,0 fw Controll.static GIPNIMALPEG          0.4093 -> 0.5259
16028,4 fw Controll.static GIPNIMALPEG          0.5259 -> 0.7142
16032,9 fw Controll.static GIPNIMALPEG          0.7142 -> 0.8046
16041,8 fw Controll.static GIPNIMALPEG          0.8046 -> 0.9828
16050,0 fw Controll.static MKFDGFOCKNO          15.777 -> 15.827
16050,0 fw Controll.static LEKCBKLAILO          15.827 -> 15.877
16050,0 fw Controll.static OFJKHAFJIMA          0.0057 -> 0.0071
16050,0 fw Controll.static GIPNIMALPEG          0.9828 -> 0.1462
16054,9 fw Controll.static GIPNIMALPEG          0.1462 -> 0.2442
16063,9 fw Controll.static GIPNIMALPEG          0.2442 -> 0.4236
16070,6 fw Controll.static GIPNIMALPEG          0.4236 -> 0.5582
16078,4 fw Controll.static GIPNIMALPEG          0.5582 -> 0.7141
16083,8 fw Controll.static GIPNIMALPEG          0.7141 -> 0.8205
16092,3 fw Controll.static GIPNIMALPEG          0.8205 -> 0.9909
16098,6 fw Controll.static MKFDGFOCKNO          15.827 -> 15.877
16098,6 fw Controll.static LEKCBKLAILO          15.877 -> 15.927
16098,7 fw Controll.static OFJKHAFJIMA          0.0071 -> 0.0057
16098,7 fw Controll.static GIPNIMALPEG          0.9909 -> 0.1181
16105,5 fw Controll.static GIPNIMALPEG          0.1181 -> 0.2551
16114,0 fw Controll.static GIPNIMALPEG          0.2551 -> 0.4264
16119,3 fw Controll.static GIPNIMALPEG          0.4264 -> 0.531
16129,0 fw Controll.static GIPNIMALPEG           0.531 -> 0.7255
16135,0 fw player          APFNBGHAJMD               1 -> 0
16135,0 fw Controll.static IGLCENGMMMJ            3.75 -> 3.9
16135,0 fw Controll.static GIPNIMALPEG          0.7255 -> 0.8464
16146,1 fw Controll.static NAKNALFCOIF        172.6502 -> 172.5002
16146,1 fw Controll.static IGLCENGMMMJ             3.9 -> 4.2
16146,1 fw Controll.static MKFDGFOCKNO          15.877 -> 15.927
16146,1 fw Controll.static LEKCBKLAILO          15.927 -> 15.977
16146,1 fw Controll.static OFJKHAFJIMA          0.0057 -> 0.0032
16146,1 fw Controll.static GIPNIMALPEG          0.8464 -> 0.0681
16148,9 fw Controll.static NAKNALFCOIF        172.5002 -> 172.3502
16148,9 fw Controll.static IGLCENGMMMJ             4.2 -> 4.5
16148,9 fw Controll.static GIPNIMALPEG          0.0681 -> 0.1247
16161,5 fw Controll.static NAKNALFCOIF        172.3502 -> 172.0502
16161,5 fw Controll.static IGLCENGMMMJ             4.5 -> 4.8
16161,6 fw Controll.static GIPNIMALPEG          0.1247 -> 0.3767
16165,4 fw Controll.static NAKNALFCOIF        172.0502 -> 171.9002
16165,4 fw Controll.static IGLCENGMMMJ             4.8 -> 5.4
16165,5 fw Controll.static GIPNIMALPEG          0.3767 -> 0.4522
16175,6 fw Controll.static NAKNALFCOIF        171.9002 -> 171.6002
16175,6 fw Controll.static IGLCENGMMMJ             5.4 -> 6
16175,6 fw Controll.static GIPNIMALPEG          0.4522 -> 0.6588
16182,4 fw Controll.static NAKNALFCOIF        171.6002 -> 171.4502
16182,4 fw Controll.static IGLCENGMMMJ               6 -> 6.6
16182,4 fw Controll.static GIPNIMALPEG          0.6588 -> 0.7943
16189,9 fw Controll.static NAKNALFCOIF        171.4502 -> 171.1502
16189,9 fw Controll.static IGLCENGMMMJ             6.6 -> 7.2
16189,9 fw Controll.static GIPNIMALPEG          0.7943 -> 0.9439
16197,5 fw Controll.static NAKNALFCOIF        171.1502 -> 171.0002
16197,5 fw Controll.static IGLCENGMMMJ             7.2 -> 7.8
16197,5 fw Controll.static MKFDGFOCKNO          15.927 -> 15.977
16197,5 fw Controll.static LEKCBKLAILO          15.977 -> 16.027
16197,5 fw Controll.static OFJKHAFJIMA          0.0032 -> 0.0046
16197,5 fw Controll.static GIPNIMALPEG          0.9439 -> 0.0956
16203,2 fw Controll.static GIPNIMALPEG          0.0956 -> 0.2107
16211,6 fw Controll.static NAKNALFCOIF        171.0002 -> 170.7002
16211,6 fw Controll.static IGLCENGMMMJ             7.8 -> 8.55
16211,6 fw Controll.static GIPNIMALPEG          0.2107 -> 0.3783
16218,0 fw Controll.static NAKNALFCOIF        170.7002 -> 170.5502
16218,0 fw Controll.static IGLCENGMMMJ            8.55 -> 9.15
16218,0 fw Controll.static GIPNIMALPEG          0.3783 -> 0.5067
16229,4 fw player          APFNBGHAJMD               0 -> 1
16229,4 fw Controll.static NAKNALFCOIF        170.5502 -> 170.4002
16229,4 fw Controll.static IGLCENGMMMJ            9.15 -> 9.75
16229,5 fw Controll.static GIPNIMALPEG          0.5067 -> 0.7343
16231,9 fw Controll.static GIPNIMALPEG          0.7343 -> 0.783
16245,9 fw Controll.static NAKNALFCOIF        170.4002 -> 170.1002
16245,9 fw Controll.static IGLCENGMMMJ            9.75 -> 10.5
16245,9 fw Controll.static MKFDGFOCKNO          15.977 -> 16.027
16245,9 fw Controll.static LEKCBKLAILO          16.027 -> 16.077
16245,9 fw Controll.static OFJKHAFJIMA          0.0046 -> 0.003
16245,9 fw Controll.static GIPNIMALPEG           0.783 -> 0.0635
16249,8 fw Controll.static GIPNIMALPEG          0.0635 -> 0.1406
16263,5 fw Controll.static IGLCENGMMMJ            10.5 -> 10.65
16263,5 fw Controll.static GIPNIMALPEG          0.1406 -> 0.4158
16267,0 fw Controll.static GIPNIMALPEG          0.4158 -> 0.4854
16279,2 fw Controll.static IGLCENGMMMJ           10.65 -> 10.95
16279,2 fw Controll.static GIPNIMALPEG          0.4854 -> 0.7297
16283,8 fw Controll.static GIPNIMALPEG          0.7297 -> 0.8223
16296,9 fw Controll.static IGLCENGMMMJ           10.95 -> 11.1
16296,9 fw Controll.static MKFDGFOCKNO          16.027 -> 16.077
16296,9 fw Controll.static LEKCBKLAILO          16.077 -> 16.127
16296,9 fw Controll.static OFJKHAFJIMA           0.003 -> 0.0039
16296,9 fw Controll.static GIPNIMALPEG          0.8223 -> 0.0829
16300,3 fw Controll.static IGLCENGMMMJ            11.1 -> 11.25
16300,3 fw Controll.static GIPNIMALPEG          0.0829 -> 0.152
16313,2 fw Controll.static NAKNALFCOIF        170.1002 -> 169.9502
16313,2 fw Controll.static IGLCENGMMMJ           11.25 -> 11.7
16313,2 fw Controll.static GIPNIMALPEG           0.152 -> 0.4094
16317,9 fw Controll.static IGLCENGMMMJ            11.7 -> 11.85
16317,9 fw Controll.static GIPNIMALPEG          0.4094 -> 0.5037
16329,3 fw Controll.static NAKNALFCOIF        169.9502 -> 169.8002
16329,3 fw Controll.static IGLCENGMMMJ           11.85 -> 12.45
16329,3 fw Controll.static GIPNIMALPEG          0.5037 -> 0.7318
16333,5 fw Controll.static NAKNALFCOIF        169.8002 -> 169.6502
16333,5 fw Controll.static IGLCENGMMMJ           12.45 -> 12.6
16333,5 fw Controll.static GIPNIMALPEG          0.7318 -> 0.816
16344,7 fw Controll.static MKFDGFOCKNO          16.077 -> 16.127
16344,7 fw Controll.static LEKCBKLAILO          16.127 -> 16.177
16344,7 fw Controll.static OFJKHAFJIMA          0.0039 -> 0.0017
16344,7 fw Controll.static GIPNIMALPEG           0.816 -> 0.0388
16350,9 fw player          LNIDBHIAJJI               2 -> 5
16350,9 fw player          ACAIGMNLLEC             122 -> 121
16350,9 fw player          HEADELMLILF               0 -> 1
16350,9 fw Controll.static IGLCENGMMMJ            12.6 -> 12.75
16350,9 fw Controll.static GIPNIMALPEG          0.0388 -> 0.1638
16361,1 fw Controll.static GIPNIMALPEG          0.1638 -> 0.368
16365,4 fw Controll.static IGLCENGMMMJ           12.75 -> 12.9
16365,5 fw Controll.static GIPNIMALPEG           0.368 -> 0.4545
16379,4 fw Controll.static IGLCENGMMMJ            12.9 -> 13.05
16379,5 fw Controll.static GIPNIMALPEG          0.4545 -> 0.735
16382,8 fw Controll.static IGLCENGMMMJ           13.05 -> 13.35
16382,8 fw Controll.static GIPNIMALPEG           0.735 -> 0.8026
16396,0 fw Controll.static IGLCENGMMMJ           13.35 -> 13.5
16396,1 fw Controll.static MKFDGFOCKNO          16.127 -> 16.177
16396,1 fw Controll.static LEKCBKLAILO          16.177 -> 16.227
16396,1 fw Controll.static OFJKHAFJIMA          0.0017 -> 0.0032
16396,1 fw Controll.static GIPNIMALPEG          0.8026 -> 0.0668
16399,8 fw Controll.static IGLCENGMMMJ            13.5 -> 13.65
16399,9 fw Controll.static GIPNIMALPEG          0.0668 -> 0.1432
16411,4 fw Controll.static GIPNIMALPEG          0.1432 -> 0.3736
16415,3 fw Controll.static GIPNIMALPEG          0.3736 -> 0.4521
16427,5 fw Controll.static GIPNIMALPEG          0.4521 -> 0.6955
16431,5 fw Controll.static GIPNIMALPEG          0.6955 -> 0.7746
16441,1 fw Controll.static GIPNIMALPEG          0.7746 -> 0.9682
16449,6 fw Controll.static MKFDGFOCKNO          16.177 -> 16.227
16449,6 fw Controll.static LEKCBKLAILO          16.227 -> 16.277
16449,6 fw Controll.static OFJKHAFJIMA          0.0032 -> 0.0067
16449,6 fw Controll.static GIPNIMALPEG          0.9682 -> 0.1372
16456,3 fw Controll.static IGLCENGMMMJ           13.65 -> 13.8
16456,3 fw Controll.static GIPNIMALPEG          0.1372 -> 0.2717
16464,1 fw Controll.static IGLCENGMMMJ            13.8 -> 13.95
16464,1 fw Controll.static GIPNIMALPEG          0.2717 -> 0.4271
16472,7 fw Controll.static IGLCENGMMMJ           13.95 -> 14.1
16472,7 fw Controll.static BFEOOOMMGLK               0 -> 1
16472,8 fw Controll.static MNHBPCOOMLE        77373447 -> 77375441
16472,8 fw Controll.static GIPNIMALPEG          0.4271 -> 0.5993
16479,1 fw Controll.static IGLCENGMMMJ            14.1 -> 14.25
16479,1 fw Controll.static BFEOOOMMGLK               1 -> 0
16479,1 fw Controll.static GIPNIMALPEG          0.5993 -> 0.7274
16492,7 fw Controll.static IGLCENGMMMJ           14.25 -> 14.4
16492,7 fw Controll.static GIPNIMALPEG          0.7274 -> 0.9997
16498,7 fw Controll.static IGLCENGMMMJ            14.4 -> 14.55
16498,7 fw Controll.static MKFDGFOCKNO          16.227 -> 16.277
16498,7 fw Controll.static LEKCBKLAILO          16.277 -> 16.327
16498,7 fw Controll.static OFJKHAFJIMA          0.0067 -> 0.0059
16498,8 fw Controll.static GIPNIMALPEG          0.9997 -> 0.1204
16507,1 fw Controll.static IGLCENGMMMJ           14.55 -> 14.7
16507,2 fw Controll.static GIPNIMALPEG          0.1204 -> 0.288
16514,1 fw Controll.static IGLCENGMMMJ            14.7 -> 14.85
16514,1 fw Controll.static GIPNIMALPEG           0.288 -> 0.4271
16522,7 fw Controll.static IGLCENGMMMJ           14.85 -> 15.15
16522,7 fw Controll.static GIPNIMALPEG          0.4271 -> 0.5996
16530,6 fw Controll.static IGLCENGMMMJ           15.15 -> 15.3
16530,6 fw Controll.static GIPNIMALPEG          0.5996 -> 0.758
16537,1 fw Controll.static IGLCENGMMMJ            15.3 -> 15.6
16537,2 fw Controll.static GIPNIMALPEG           0.758 -> 0.8882
16546,4 fw player          LNIDBHIAJJI               5 -> 9
16546,4 fw player          ACAIGMNLLEC             121 -> 120
16546,4 fw player          HEADELMLILF               1 -> 0
16546,4 fw Controll.static IGLCENGMMMJ            15.6 -> 15.75
16546,4 fw Controll.static DGNDKAKOEPD        77374702 -> 77375426
16546,4 fw Controll.static BEJBLGGGOCC       294634696 -> 294635583
16546,4 fw Controll.static JELGPAKAJPE             415 -> 142
16546,4 fw Controll.static EENJPDHGGGC         15.5973 -> 16.3216
16546,4 fw Controll.static MKFDGFOCKNO          16.277 -> 16.327
16546,4 fw Controll.static LEKCBKLAILO          16.327 -> 16.377
16546,4 fw Controll.static OFJKHAFJIMA          0.0059 -> 0.0035
16546,4 fw Controll.static GIPNIMALPEG          0.8882 -> 0.0736
16552,8 fw Controll.static IGLCENGMMMJ           15.75 -> 15.9
16552,8 fw Controll.static BFEOOOMMGLK               0 -> 1
16552,8 fw Controll.static MNHBPCOOMLE        77375441 -> 77375521
16552,8 fw Controll.static GIPNIMALPEG          0.0736 -> 0.2013
16562,3 fw Controll.static IGLCENGMMMJ            15.9 -> 16.05
16562,3 fw Controll.static BFEOOOMMGLK               1 -> 0
16562,3 fw Controll.static GIPNIMALPEG          0.2013 -> 0.3914
16567,1 fw Controll.static IGLCENGMMMJ           16.05 -> 16.35
16567,1 fw Controll.static GIPNIMALPEG          0.3914 -> 0.488
16578,7 fw Controll.static IGLCENGMMMJ           16.35 -> 16.65
16578,8 fw Controll.static GIPNIMALPEG           0.488 -> 0.7205
16582,8 fw Controll.static NAKNALFCOIF        169.6502 -> 169.5002
16582,8 fw Controll.static IGLCENGMMMJ           16.65 -> 17.1
16582,8 fw Controll.static GIPNIMALPEG          0.7205 -> 0.8022
16594,5 fw Controll.static MKFDGFOCKNO          16.327 -> 16.377
16594,5 fw Controll.static LEKCBKLAILO          16.377 -> 16.427
16594,5 fw Controll.static OFJKHAFJIMA          0.0035 -> 0.0015
16594,5 fw Controll.static GIPNIMALPEG          0.8022 -> 0.034
16600,1 fw Controll.static IGLCENGMMMJ            17.1 -> 17.4
16600,2 fw Controll.static GIPNIMALPEG           0.034 -> 0.1483
16612,3 fw Controll.static IGLCENGMMMJ            17.4 -> 17.55
